Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Alberto Rodríguez Baró,184,82,"['Mediocampista', 'Defensor']",67,Right,3,33,26,75,68,32,40,30,28,46,61,43,57,32,60,54,41,69,33,67,25,66,64,23,31,30,52,63,71,70,11,12,13,15.0,8.0
Juan Antonio Ros Martínez,188,76,"['Mediocampista', 'Defensor']",67,Left,4,52,45,70,66,39,55,42,39,65,62,69,65,67,63,60,59,74,71,70,42,65,69,44,59,49,48,65,68,67,5,9,10,5.0,9.0
Daniel Lasure Briz,176,72,"['Mediocampista', 'Defensor']",67,Left,3,61,31,59,63,40,58,71,48,59,59,71,67,67,62,71,66,74,81,72,47,61,63,64,42,44,59,61,64,65,8,10,13,10.0,9.0
Andreas Bruus,183,67,"['Mediocampista', 'Defensor']",67,Right,3,70,51,54,64,47,64,70,48,60,67,86,82,69,59,66,65,77,74,71,48,59,56,62,61,49,59,58,63,61,13,14,10,15.0,10.0
Bashkim Ajdini,176,73,"['Mediocampista', 'Defensor']",67,Right,2,66,59,43,63,59,68,72,64,66,65,80,80,83,66,82,69,57,76,52,73,55,65,54,64,54,69,58,62,61,9,13,7,9.0,11.0
Hakim Guenouche,172,62,"['Defensor', 'Mediocampista']",67,Left,3,65,52,45,62,32,68,66,38,58,68,82,86,89,58,88,56,58,83,46,57,57,56,60,59,41,63,50,58,56,11,14,13,7.0,12.0
Marko Pajač,185,69,"['Mediocampista', 'Defensor']",67,Left,2,71,57,55,70,54,56,65,66,59,60,71,74,67,68,65,70,66,77,58,67,70,65,69,59,53,70,59,55,61,6,10,6,7.0,10.0
Dennis-Dorian Politic,185,78,"['Delantero', 'Mediocampista']",67,Right,4,57,63,42,63,49,70,58,58,57,69,81,76,82,65,70,69,68,76,72,68,64,25,65,59,53,66,31,28,37,9,6,12,15.0,6.0
Sirlord Calvin Conteh,178,72,"['Delantero', 'Mediocampista']",67,Right,2,57,66,58,62,53,70,53,37,40,66,94,95,88,68,77,63,76,70,59,61,58,33,69,52,52,55,33,37,37,9,7,8,8.0,12.0
Gabriel Vidović,180,73,"['Delantero', 'Mediocampista']",67,Right,3,52,67,48,68,58,74,63,45,48,74,70,66,68,66,69,62,58,60,56,60,34,21,60,62,58,60,18,18,19,8,5,9,10.0,13.0
Gonzalo Maroni,175,67,"['Delantero', 'Mediocampista']",67,Right,2,63,53,50,68,62,73,61,60,57,71,73,66,81,64,67,61,62,62,56,49,36,30,69,65,56,67,51,40,40,6,12,11,6.0,12.0
José Salinas Morán,179,69,"['Mediocampista', 'Defensor']",67,Left,2,66,44,57,61,42,64,57,29,53,66,69,74,65,61,65,35,61,71,54,38,63,64,49,45,26,53,62,64,66,15,6,9,13.0,9.0
Luciano Luis Rómulo Gómez,163,66,"['Mediocampista', 'Defensor']",67,Right,3,64,60,50,61,48,70,52,45,61,66,78,82,85,65,93,63,66,77,59,62,58,64,64,61,48,63,66,61,58,8,7,12,14.0,11.0
Münir Levent Mercan,176,69,"['Mediocampista', 'Defensor']",67,Left,5,64,54,53,67,58,67,68,66,65,68,76,76,78,57,76,80,56,64,44,66,44,64,54,59,55,58,65,65,66,15,14,11,8.0,7.0
Alessio Iovine,174,70,"['Defensor', 'Mediocampista']",67,Right,3,66,53,42,68,44,69,60,42,67,71,66,71,68,54,73,62,53,74,59,50,38,45,60,64,55,68,57,68,62,14,13,15,8.0,13.0
Joaquín Torres,165,61,"['Delantero', 'Mediocampista']",67,Left,2,59,63,52,64,52,76,66,42,60,71,82,75,90,64,90,60,58,64,42,62,40,34,64,63,39,68,31,30,32,7,10,12,7.0,8.0
Beder Julio Caicedo Lastra,180,72,"['Mediocampista', 'Defensor']",67,Left,2,66,52,59,61,40,66,55,49,56,65,77,82,75,65,73,42,74,71,68,46,62,63,66,55,49,52,62,63,58,11,9,13,10.0,14.0
Daniel Svensson,178,72,"['Defensor', 'Mediocampista']",67,Left,3,65,43,44,70,45,67,62,57,68,69,77,77,74,68,67,58,63,74,65,56,67,65,60,67,44,68,66,67,66,15,12,12,9.0,9.0
Nathaniel Brown,180,60,"['Mediocampista', 'Defensor']",67,Left,3,69,45,43,63,36,69,65,52,42,67,82,77,83,62,79,55,48,69,34,47,50,59,55,51,33,60,56,66,64,7,6,14,13.0,10.0
Iker Guarrotxena Vallejo,177,71,"['Delantero', 'Mediocampista']",67,Right,3,66,68,63,65,57,67,59,60,63,68,72,71,80,62,72,68,77,76,72,64,69,53,67,66,59,62,41,52,45,10,7,16,15.0,13.0
Anthony Knockaert,172,69,"['Delantero', 'Mediocampista']",67,Left,3,71,60,56,67,62,69,73,71,60,70,70,65,82,64,80,72,63,52,56,67,78,45,65,66,68,68,56,39,34,14,14,8,11.0,8.0
Antonios Papadopoulos,185,83,"['Mediocampista', 'Defensor']",67,Right,3,28,22,55,59,29,53,23,30,44,58,63,66,64,64,64,41,82,76,82,33,82,64,37,52,35,59,65,66,63,8,11,7,13.0,10.0
Carlos Isaac Muñoz Obejero,184,74,"['Mediocampista', 'Defensor']",67,Right,3,67,30,63,61,36,58,44,35,42,66,69,74,50,64,60,50,75,71,75,42,52,62,58,38,34,60,65,63,64,6,8,10,12.0,5.0
Guillermo Enrique,174,70,"['Mediocampista', 'Defensor']",67,Right,2,53,49,66,58,27,67,52,34,40,55,72,70,67,64,68,58,64,65,48,40,62,69,58,51,70,66,66,70,67,12,12,7,12.0,10.0
Maximilian Ullmann,180,65,"['Mediocampista', 'Defensor']",67,Left,4,63,54,63,63,47,64,59,49,59,63,80,79,74,61,78,66,76,85,63,63,61,58,57,59,73,60,58,62,58,9,14,7,8.0,10.0
Alexis Antunes Gomez,181,71,"['Delantero', 'Mediocampista']",67,Right,3,54,64,42,68,62,74,59,49,65,73,71,70,75,65,67,63,58,75,61,51,59,62,67,68,44,68,50,51,45,5,7,10,6.0,13.0
Kevin Mathías Lewis Rodríguez,173,73,"['Defensor', 'Mediocampista']",67,Left,3,57,60,42,72,55,65,54,58,63,69,71,68,68,69,57,62,59,74,63,60,62,62,60,66,55,63,65,66,60,7,10,12,13.0,14.0
Matías Emanuel Godoy,176,72,"['Delantero', 'Mediocampista']",67,Right,4,64,63,65,66,60,66,59,50,63,68,75,72,64,64,68,68,74,69,65,62,41,41,66,62,68,68,22,47,40,10,6,10,10.0,6.0
Nene Dorgeles,174,65,"['Delantero', 'Mediocampista']",67,Left,4,56,73,48,62,66,71,62,57,60,69,86,85,88,62,85,70,61,65,48,68,52,27,66,64,61,64,35,42,39,6,9,6,9.0,5.0
Troy Daniel Parrott,185,72,"['Delantero', 'Mediocampista']",67,Right,4,55,64,62,64,64,71,53,57,59,69,77,75,76,69,71,65,74,72,62,60,63,35,69,65,62,63,45,43,39,12,10,14,11.0,13.0
Hamza Rafia,178,75,"['Delantero', 'Mediocampista']",67,Right,3,61,62,38,70,55,75,74,72,64,74,68,63,72,67,85,74,55,70,62,74,73,54,68,71,59,63,26,33,19,13,12,5,9.0,11.0
Yoël Armougom,173,71,"['Mediocampista', 'Defensor']",67,Left,3,64,32,49,62,27,64,59,45,44,63,81,78,74,62,82,65,69,70,65,43,61,60,55,45,40,53,59,63,64,13,5,14,7.0,13.0
Gustavo Patrick Pastor Pombo,183,75,"['Delantero', 'Mediocampista']",67,Right,3,68,77,46,50,67,74,45,62,49,73,83,80,73,63,65,50,70,71,70,73,50,41,71,52,63,72,18,37,35,10,8,12,9.0,12.0
Jean Carlos Blanco Becerra,185,69,"['Delantero', 'Mediocampista']",67,Right,3,65,69,59,61,68,68,71,58,53,65,88,75,82,62,55,65,76,77,62,66,63,16,68,63,67,61,41,27,23,16,11,15,13.0,10.0
Heitor Thiago Muto Hiroshi,180,75,"['Delantero', 'Mediocampista']",67,Left,4,65,66,55,59,62,75,53,52,61,69,68,60,72,63,50,70,60,51,53,64,55,22,68,70,72,45,26,21,23,15,18,10,10.0,17.0
Oriol Busquets Mas,185,77,"['Defensor', 'Mediocampista']",67,Right,3,56,36,64,71,37,60,46,42,67,65,39,34,53,64,59,56,62,67,70,47,63,67,41,68,42,70,65,62,62,9,6,5,10.0,12.0
Gary Magnée,175,67,"['Defensor', 'Mediocampista']",67,Right,3,63,57,57,68,27,66,46,57,65,70,77,60,68,65,80,57,69,70,58,55,72,60,60,68,49,59,59,64,60,9,9,14,7.0,5.0
Thomas Lam,188,76,"['Mediocampista', 'Defensor']",67,Right,4,48,44,66,65,41,58,46,58,64,62,60,63,63,64,58,70,75,73,77,56,79,65,45,57,60,65,65,64,64,8,15,15,16.0,12.0
Richard Fabián Prieto,172,68,"['Defensor', 'Mediocampista']",67,Left,2,61,52,57,64,57,72,59,57,60,67,81,80,72,57,81,60,64,64,46,61,49,50,61,64,52,62,58,62,60,8,7,14,12.0,6.0
Philipp Hercher,182,81,"['Defensor', 'Mediocampista']",67,Right,3,67,60,57,67,49,63,60,36,56,61,77,83,68,64,73,62,77,82,74,60,63,57,65,58,50,68,57,63,63,6,8,15,10.0,8.0
Kaan Caliskaner,192,87,"['Delantero', 'Mediocampista']",67,Right,3,30,63,58,66,59,69,42,36,59,70,67,86,65,64,58,64,75,74,80,60,45,15,67,66,52,65,30,12,12,6,6,13,9.0,6.0
Álvaro Rodríguez Pérez,181,75,"['Mediocampista', 'Defensor']",67,Right,3,71,36,60,64,37,58,61,60,60,66,62,58,59,64,64,53,68,69,66,48,65,66,56,52,42,57,65,66,65,6,11,15,13.0,6.0
Dijon Kameri,184,76,"['Delantero', 'Mediocampista']",67,Right,3,58,61,52,65,64,72,69,63,61,71,76,73,75,58,70,74,69,64,65,72,55,42,58,65,68,53,28,41,41,15,14,5,11.0,10.0
Morgan Elliot Rogers,188,80,"['Delantero', 'Mediocampista']",67,Right,4,62,64,49,64,56,74,58,47,49,67,74,79,60,59,55,70,69,64,74,63,43,34,62,64,60,60,40,42,39,7,8,13,11.0,14.0
Tiago Palacios,167,67,"['Delantero', 'Mediocampista']",67,Right,3,63,60,52,69,40,70,66,64,60,69,77,72,76,55,93,67,53,66,36,65,72,56,62,55,65,62,48,61,56,13,15,14,9.0,5.0
Bartłomiej Pawłowski,178,70,"['Delantero', 'Mediocampista']",67,Right,3,64,65,56,63,60,66,76,73,59,66,81,83,80,63,82,66,73,72,63,66,43,29,63,58,58,65,34,17,15,14,13,13,14.0,11.0
Karamoko Kader Dembélé,167,65,"['Delantero', 'Mediocampista']",67,Left,3,59,59,32,65,47,71,61,60,54,69,86,81,91,58,92,66,46,62,34,62,40,42,61,62,56,61,42,46,39,12,13,11,8.0,15.0
José Daniel Rivera Martínez,171,74,"['Delantero', 'Mediocampista']",67,Right,4,60,66,67,65,55,72,65,63,60,66,70,69,65,55,69,77,72,65,67,79,55,45,65,61,65,58,45,46,45,7,14,7,13.0,13.0
Yuri Oliveira Ribeiro,180,77,"['Mediocampista', 'Defensor']",67,Left,3,62,46,63,70,53,61,67,50,65,67,76,76,79,65,78,66,75,66,64,46,69,65,60,68,41,71,70,66,65,12,12,13,8.0,12.0
Flávio Basilua Jacinto Nazinho,180,75,"['Mediocampista', 'Defensor']",67,Left,2,63,34,46,60,29,64,39,37,59,64,76,74,59,66,65,26,65,62,63,31,58,67,51,36,44,55,63,67,65,6,5,14,6.0,6.0
李帅 Li Shuai,180,71,"['Mediocampista', 'Defensor']",67,Right,4,57,37,49,61,36,63,49,48,53,63,81,82,82,60,70,45,72,80,71,39,66,61,67,60,39,62,59,63,65,6,7,10,13.0,14.0
Dragoș Ionuț Nedelcu,189,80,"['Defensor', 'Mediocampista']",67,Right,3,52,49,64,68,40,57,56,46,70,64,64,56,55,65,56,73,73,70,71,68,60,64,58,70,49,67,67,63,62,13,13,5,12.0,14.0
Samir Sophian Chergui,185,78,"['Mediocampista', 'Defensor']",67,Right,2,58,42,63,68,30,61,41,43,66,63,57,47,73,66,67,47,70,38,73,44,67,66,52,60,40,64,67,70,69,7,9,11,10.0,12.0
Luka Zahovič,177,63,"['Delantero', 'Mediocampista']",67,Right,3,48,64,62,68,58,66,56,48,55,69,78,74,80,66,80,65,66,74,49,59,32,19,68,66,55,54,33,20,24,9,10,11,13.0,14.0
Dogbole Franck Anderson Niangbo,173,65,"['Delantero', 'Mediocampista']",67,Right,3,48,66,54,63,63,72,53,49,39,68,88,91,80,63,82,70,67,68,50,61,33,24,66,64,57,62,19,18,14,6,10,11,11.0,6.0
Alexandre Nascimento Costa Silva,177,68,"['Delantero', 'Mediocampista']",67,Right,3,56,63,54,65,57,71,64,39,52,68,78,85,77,62,71,67,70,56,65,64,56,24,67,68,55,68,25,23,22,8,16,15,15.0,11.0
Cassius Mailula,166,65,"['Delantero', 'Mediocampista']",67,Right,3,61,70,50,69,40,70,48,47,58,70,78,77,83,57,84,52,53,56,35,50,42,30,64,63,48,66,28,30,28,13,11,10,12.0,14.0
Giacomo Ricci,180,75,"['Mediocampista', 'Defensor']",67,Left,2,63,31,48,60,44,59,38,32,57,63,63,66,65,61,66,35,59,74,64,33,53,62,51,49,43,60,67,69,70,8,7,12,9.0,13.0
Kristian Eriksen,177,74,"['Delantero', 'Mediocampista']",67,Right,3,55,66,60,67,58,65,49,46,63,66,68,70,70,68,80,68,68,82,62,61,66,39,68,68,45,61,39,42,42,14,13,13,8.0,9.0
Vadim Raţă,175,71,"['Delantero', 'Mediocampista']",67,Right,4,56,61,52,68,61,64,64,67,65,67,75,69,81,66,83,68,67,91,64,60,74,64,67,66,45,64,61,63,64,14,10,14,13.0,7.0
Jean Pierre Archimbaud Arriarán,181,81,"['Defensor', 'Mediocampista']",67,Left,3,45,37,64,65,17,59,50,51,62,60,52,65,64,62,77,61,69,81,74,49,65,68,44,64,55,71,68,65,61,12,9,9,8.0,7.0
Sargis Adamyan,184,75,"['Delantero', 'Mediocampista']",67,Right,3,58,67,63,69,70,72,57,44,58,68,74,69,78,65,73,70,74,74,68,69,64,22,64,64,60,62,45,25,26,14,15,10,15.0,10.0
Sabin Merino Zuloaga,187,78,"['Delantero', 'Mediocampista']",67,Right,3,64,63,75,62,70,64,66,65,61,65,66,77,66,68,37,65,78,70,70,64,55,46,71,69,71,68,43,55,43,13,8,9,9.0,13.0
Dominik Robin Schmid,183,74,"['Mediocampista', 'Defensor']",67,Left,5,70,40,50,69,55,63,73,72,70,67,77,77,71,63,70,70,69,84,67,65,57,59,58,66,45,57,59,57,61,13,8,7,10.0,7.0
Mason Bennett,178,64,"['Delantero', 'Mediocampista']",67,Right,3,68,64,63,60,56,66,60,55,53,67,79,75,74,62,70,62,83,60,80,58,72,42,66,65,56,63,40,40,32,14,15,10,10.0,7.0
Yeni Atito N'Gbakoto,173,69,"['Delantero', 'Mediocampista']",67,Right,3,69,64,48,63,55,65,69,65,60,66,76,73,81,63,73,67,67,69,69,67,62,35,65,67,69,65,34,40,35,15,7,15,14.0,11.0
Daniel Chacón Salas,183,79,"['Mediocampista', 'Defensor']",67,Right,3,29,16,68,65,22,31,25,25,41,65,60,64,45,64,58,34,68,62,62,18,65,68,29,29,38,48,69,66,71,5,10,6,8.0,12.0
Kangni Frederic Ananou,183,78,"['Mediocampista', 'Defensor']",67,Right,3,60,32,62,57,41,64,39,32,40,61,81,91,68,65,63,45,84,68,77,43,66,60,56,30,45,54,66,67,63,9,10,9,11.0,13.0
Cristian Daniel Neguț,176,72,"['Delantero', 'Mediocampista']",67,Right,4,64,63,51,64,54,65,60,65,57,65,80,80,81,60,86,65,67,84,59,58,55,28,63,61,66,60,32,24,33,12,13,10,10.0,13.0
Xavier Quintillà Guasch,177,71,"['Mediocampista', 'Defensor']",67,Left,3,63,46,64,64,55,65,65,65,63,66,70,69,68,66,62,65,68,70,59,54,66,64,59,56,48,66,64,65,63,14,9,7,7.0,14.0
Mons Bassouamina,173,68,"['Delantero', 'Mediocampista']",67,Right,2,54,69,61,63,45,71,34,32,49,68,83,82,69,56,71,67,78,71,68,57,35,19,69,54,62,64,15,15,18,7,7,7,9.0,10.0
Nicola Pavan,186,80,"['Mediocampista', 'Defensor']",67,Right,3,60,54,67,72,55,66,64,59,68,70,63,65,60,65,61,70,73,72,71,60,67,62,55,61,55,63,70,66,66,8,14,9,7.0,6.0
Manuel Monzeglio Velázquez,181,70,"['Delantero', 'Mediocampista']",67,Right,4,54,65,50,70,45,69,56,52,66,72,65,63,62,50,64,57,61,61,62,65,26,23,64,70,55,50,20,22,24,12,6,11,8.0,8.0
Erencan Yardımcı,188,78,"['Delantero', 'Mediocampista']",67,Right,2,48,69,70,56,55,70,65,54,42,58,71,85,70,69,55,62,78,72,71,51,55,23,67,51,65,58,26,21,20,6,8,7,12.0,11.0
Loum Tchaouna,180,67,"['Delantero', 'Mediocampista']",67,Left,3,63,68,50,64,69,72,69,59,58,74,76,82,67,64,69,70,68,66,64,69,47,32,66,60,69,63,37,36,33,14,12,15,8.0,14.0
Julien Fontaine Ngoy Bin Cibambi,185,64,"['Delantero', 'Mediocampista']",67,Right,3,53,66,58,58,52,70,45,43,48,66,75,90,69,66,70,71,80,77,81,61,33,17,62,54,66,59,27,18,22,14,5,12,11.0,10.0
Francisco Arturo Alarcón Cruz,189,85,"['Mediocampista', 'Defensor']",67,Right,2,30,24,72,50,30,38,26,15,42,39,42,44,34,54,34,48,76,68,83,21,87,64,40,33,38,49,66,69,64,8,9,7,12.0,14.0
Weverson Moreira da Costa,185,69,"['Mediocampista', 'Defensor']",67,Left,2,63,26,49,66,30,65,38,40,61,68,77,76,69,64,50,63,52,70,40,44,55,57,67,51,39,60,64,66,61,14,7,8,14.0,9.0
Carlos Martín Domínguez,180,74,"['Delantero', 'Mediocampista']",67,Right,4,64,69,60,58,57,70,63,62,48,69,74,78,74,62,64,70,73,55,68,62,52,27,65,58,63,58,20,25,27,14,9,8,14.0,12.0
Oliver Sørensen Jensen,184,78,"['Defensor', 'Mediocampista']",67,Left,3,55,55,60,70,44,65,55,45,66,70,68,76,66,68,76,66,77,84,80,54,62,64,67,64,41,65,65,67,63,9,13,9,10.0,7.0
Bernardo Martins Sousa,178,73,"['Delantero', 'Mediocampista']",67,Left,3,59,61,62,57,61,70,65,62,53,66,82,80,70,60,67,71,77,55,64,64,42,21,70,70,60,59,26,38,31,13,6,11,14.0,9.0
Jaouen Hadjam,184,83,"['Mediocampista', 'Defensor']",67,Left,3,63,47,52,63,48,69,51,45,52,66,72,77,68,61,65,61,71,69,74,52,65,60,58,60,52,62,62,67,66,6,13,8,13.0,6.0
Elias Sarquis,180,74,"['Delantero', 'Mediocampista']",67,Left,3,65,68,44,62,54,74,42,36,54,72,72,74,75,57,59,65,57,57,59,51,28,15,66,61,52,61,17,26,28,7,6,11,13.0,8.0
Halil İbrahim Dervişoğlu,183,76,"['Delantero', 'Mediocampista']",67,Right,3,52,65,64,70,64,73,61,60,53,74,74,72,74,58,60,68,71,66,59,64,58,28,67,68,62,68,36,41,39,9,12,6,9.0,13.0
Anass Salah-Eddine,181,66,"['Mediocampista', 'Defensor']",67,Left,3,58,27,53,72,28,70,55,39,67,69,75,79,67,62,66,45,68,67,65,36,64,60,64,66,37,65,62,65,63,14,8,15,14.0,12.0
Manuel Jorge Silva,189,83,"['Mediocampista', 'Defensor']",67,Right,3,52,38,61,69,40,55,42,46,61,56,59,53,53,67,48,54,75,64,81,32,59,65,32,54,49,48,66,69,66,13,14,7,14.0,9.0
Federico Bravo,185,77,"['Defensor', 'Mediocampista']",67,Right,2,51,37,57,65,34,58,40,45,62,63,47,54,57,63,53,52,67,80,80,54,80,63,56,60,52,59,61,69,64,13,9,11,7.0,9.0
Loret Sadiku,181,72,"['Defensor', 'Mediocampista']",67,Right,3,36,46,58,68,51,53,60,46,65,63,37,34,69,66,67,77,56,70,62,64,72,67,53,55,65,69,70,65,62,16,15,14,6.0,14.0
Christian Joe Conteh,182,72,"['Delantero', 'Mediocampista']",67,Right,3,55,54,39,54,51,76,50,35,42,69,94,93,89,65,80,52,61,69,52,44,50,19,59,54,40,64,26,31,27,5,14,14,15.0,6.0
Cristian Benavente Bristol,173,68,"['Delantero', 'Mediocampista']",67,Right,5,60,62,46,66,59,70,70,71,61,68,77,66,79,66,62,65,58,59,50,62,39,30,60,70,69,64,23,30,30,9,6,15,12.0,7.0
Marco Schuster,179,77,"['Defensor', 'Mediocampista']",67,Right,3,45,47,58,68,44,63,46,43,64,65,66,55,75,65,76,67,68,86,68,54,70,63,51,63,54,62,64,64,62,6,13,8,8.0,16.0
Bryan Alfonso Vejar Utreras,168,70,"['Mediocampista', 'Defensor']",67,Right,4,63,44,47,63,44,72,65,58,59,66,92,86,81,60,78,59,72,81,66,56,58,58,69,58,47,59,57,63,59,7,14,12,9.0,10.0
Fabio Kaufmann,181,74,"['Delantero', 'Mediocampista']",67,Right,3,63,68,57,65,56,69,68,47,54,66,82,79,82,68,79,70,74,82,63,67,66,59,66,60,49,62,41,59,57,8,13,8,10.0,7.0
George Oluwaseun Bello,170,68,"['Mediocampista', 'Defensor']",67,Left,3,60,45,41,60,25,69,52,27,48,67,83,83,85,64,83,55,61,71,56,35,64,56,68,54,39,58,62,66,64,12,9,6,11.0,8.0
Daniel Esmorís Tasende,172,64,"['Mediocampista', 'Defensor']",67,Left,3,65,38,57,70,62,61,63,69,59,66,70,68,67,64,64,63,54,70,44,60,58,63,58,70,49,52,64,64,62,6,6,7,7.0,10.0
Marko Ivezić,191,83,"['Defensor', 'Mediocampista']",67,Right,3,49,33,66,68,34,53,38,39,65,63,62,68,59,59,59,45,75,65,76,47,63,68,35,45,40,48,66,70,68,9,14,9,12.0,5.0
Nils Erik Elias Andersson,178,75,"['Mediocampista', 'Defensor']",67,Left,2,74,54,42,68,54,67,73,63,70,69,63,66,71,64,73,71,56,74,66,64,69,62,62,69,50,68,58,65,64,8,7,9,15.0,7.0
Yorman Zapata,175,68,"['Delantero', 'Mediocampista']",67,Right,3,61,66,62,63,55,73,54,47,61,68,83,79,76,54,76,65,82,73,74,56,35,24,65,46,64,68,20,28,27,6,13,14,6.0,6.0
Moussa N'Diaye,181,70,"['Mediocampista', 'Defensor']",67,Left,3,61,26,67,66,21,72,37,29,63,70,73,78,79,62,71,32,71,65,57,24,70,60,38,51,32,60,60,67,65,10,5,8,8.0,6.0
Andre Jay Green,180,71,"['Delantero', 'Mediocampista']",67,Right,3,65,60,58,65,52,69,60,45,58,67,76,81,69,59,72,63,71,67,60,57,34,27,63,63,61,65,37,34,38,7,11,9,10.0,12.0
Kerim Çalhanoğlu,183,80,"['Mediocampista', 'Defensor']",67,Left,3,72,45,52,65,48,67,70,54,55,65,77,77,76,62,71,62,69,68,64,53,67,58,59,60,45,52,56,64,61,11,12,14,11.0,12.0
Boris Sekulić,187,82,"['Mediocampista', 'Defensor']",67,Right,2,66,29,60,66,26,60,57,30,55,63,67,67,57,68,65,29,73,65,72,31,63,63,59,55,46,62,62,67,64,12,13,9,7.0,12.0
Roger Junio Rodrigues Figueira,180,74,"['Defensor', 'Mediocampista']",67,Left,3,63,62,46,66,53,67,70,63,62,69,74,75,73,59,73,65,67,77,71,56,63,47,61,63,55,61,52,49,42,6,5,12,12.0,9.0
Antonio Madreluis Romero Urquiola,174,71,"['Delantero', 'Mediocampista']",67,Right,3,62,72,38,62,55,78,46,64,60,68,74,75,72,51,68,65,58,60,63,65,44,27,60,62,75,61,55,52,50,10,11,14,9.0,9.0
Bilal Ould-Chikh,170,60,"['Delantero', 'Mediocampista']",67,Left,2,59,56,43,59,60,74,69,57,49,72,85,86,79,63,83,70,59,62,51,56,36,22,57,63,56,57,29,27,24,7,8,8,12.0,9.0
Tayfur Bingöl,180,74,"['Mediocampista', 'Defensor']",67,Right,3,68,59,48,67,52,68,64,49,63,65,77,76,71,61,65,64,67,78,68,58,62,65,68,59,64,52,58,62,58,7,7,6,7.0,15.0
Varol Salman Tasar,174,67,"['Delantero', 'Mediocampista']",67,Left,3,63,66,46,61,60,68,61,77,58,66,73,77,72,57,78,66,50,65,44,62,42,25,67,66,52,55,27,30,33,15,14,10,6.0,8.0
Francisco Javier Mera Herrera,166,67,"['Delantero', 'Mediocampista']",67,Right,3,49,60,58,69,52,67,70,38,66,66,66,65,71,71,80,72,68,71,70,55,63,64,65,67,66,59,59,63,54,7,7,13,9.0,12.0
Simone Pafundi,164,59,"['Delantero', 'Mediocampista']",67,Left,3,64,61,55,67,61,71,74,71,64,71,83,73,87,57,95,73,60,46,42,65,61,55,61,65,69,70,47,39,36,7,10,11,7.0,8.0
Parfait Guiagon,169,65,"['Delantero', 'Mediocampista']",67,Right,3,63,65,38,66,59,72,54,60,56,69,76,70,78,58,85,57,57,63,58,58,33,26,62,68,57,67,28,20,22,10,6,7,11.0,14.0
Marcelo Pablo Jorquera Silva,174,72,"['Mediocampista', 'Defensor']",67,Left,3,69,35,51,66,35,61,56,39,59,68,78,72,77,58,59,45,73,70,72,37,62,58,58,51,40,60,56,67,65,9,9,6,12.0,13.0
Dylan Saint-Louis,184,78,"['Delantero', 'Mediocampista']",67,Right,4,63,62,60,62,63,72,68,66,60,66,83,83,84,58,70,70,78,62,68,61,41,24,66,56,68,60,26,32,28,16,7,9,16.0,12.0
Juan José Franco Arrellaga,175,77,"['Mediocampista', 'Defensor']",67,Right,2,64,53,50,64,24,66,53,33,58,63,67,63,57,63,70,54,59,70,57,55,60,70,65,65,50,60,67,67,63,10,12,6,10.0,12.0
Jomaine Ellay Consbruch,174,66,"['Delantero', 'Mediocampista']",67,Right,3,55,58,40,69,49,70,53,39,64,68,76,76,83,64,84,56,44,72,33,57,63,58,64,65,43,55,52,58,59,11,9,8,7.0,11.0
Richard Enrique Celis Sánchez,177,74,"['Delantero', 'Mediocampista']",67,Right,2,64,70,63,67,67,65,65,70,59,66,78,77,76,60,80,70,76,68,66,68,38,38,65,57,72,52,44,45,38,11,7,16,16.0,9.0
Rodrigo Uriel Atencio,175,70,"['Delantero', 'Mediocampista']",67,Left,3,67,65,60,71,56,70,66,70,72,70,71,68,68,60,69,65,67,59,55,65,51,27,60,66,66,60,46,42,40,11,9,14,12.0,9.0
瀬古 歩夢 Ayumu Seko,185,78,"['Mediocampista', 'Defensor']",67,Right,2,42,30,67,67,26,49,23,23,63,61,57,59,60,69,61,53,71,81,71,34,58,71,39,42,37,56,70,67,64,12,7,10,14.0,6.0
Juan Bisanz,180,65,"['Delantero', 'Mediocampista']",67,Right,4,65,67,55,61,49,70,62,43,55,68,72,76,72,66,69,63,59,67,47,57,58,42,60,56,54,49,47,49,45,13,8,12,12.0,9.0
Аљоша Васић Aljoša Vasić,188,78,"['Delantero', 'Mediocampista']",67,Right,4,66,60,72,69,63,72,73,63,66,71,75,77,70,67,65,70,81,62,70,68,61,67,60,68,60,64,62,67,61,6,13,7,12.0,6.0
金奉徐 Bo-Sub Kim,183,74,"['Delantero', 'Defensor']",67,Right,3,59,61,54,57,45,70,51,43,52,63,87,86,82,57,71,66,75,84,67,63,61,43,69,62,55,52,44,43,41,12,9,5,9.0,14.0
Kevin Rüegg,173,80,"['Mediocampista', 'Defensor']",67,Right,3,67,54,64,67,45,66,58,39,67,67,76,79,70,60,78,68,80,59,74,62,72,60,67,59,30,68,60,65,65,6,9,8,11.0,13.0
Ryan James McGowan,191,75,"['Mediocampista', 'Defensor']",67,Right,3,60,44,69,62,54,56,52,55,59,61,50,59,54,56,52,58,73,78,80,42,82,64,42,45,58,63,65,64,64,12,11,12,12.0,13.0
